"","Geo_Location","Date_Created"
"750571","{type: Point, coordinates: [35.0, 103.0]}","Sun Feb 09 03:56:33 +0000 2020"
"756381","{type: Point, coordinates: [52.232222, 21.008333]}","Sun Feb 09 06:57:32 +0000 2020"
"757739","{type: Point, coordinates: [51.21955, 4.38519]}","Sun Feb 09 07:29:17 +0000 2020"
"757988","{type: Point, coordinates: [52.232222, 21.008333]}","Sun Feb 09 07:43:22 +0000 2020"
"763284","{type: Point, coordinates: [33.7684057, -84.38611493]}","Sun Feb 09 10:29:04 +0000 2020"
"767193","{type: Point, coordinates: [55.8333254, -4.4229313]}","Sun Feb 09 12:29:43 +0000 2020"
"774091","{type: Point, coordinates: [22.79377445, 114.70570581]}","Sun Feb 09 16:01:35 +0000 2020"
"779140","{type: Point, coordinates: [22.468865, 70.1163694]}","Sun Feb 09 18:46:28 +0000 2020"
"796175","{type: Point, coordinates: [30.594726, 114.26163725]}","Mon Feb 10 03:35:37 +0000 2020"
"800118","{type: Point, coordinates: [13.7522, 100.494]}","Mon Feb 10 05:36:26 +0000 2020"
"803884","{type: Point, coordinates: [52.232222, 21.008333]}","Mon Feb 10 07:51:16 +0000 2020"
"804101","{type: Point, coordinates: [55.833303, -4.4229257]}","Mon Feb 10 07:52:09 +0000 2020"
"807996","{type: Point, coordinates: [52.63162952, -2.50153743]}","Mon Feb 10 09:53:04 +0000 2020"
"808098","{type: Point, coordinates: [52.232222, 21.008333]}","Mon Feb 10 10:06:33 +0000 2020"
"815737","{type: Point, coordinates: [52.232222, 21.008333]}","Mon Feb 10 13:54:18 +0000 2020"
"820031","{type: Point, coordinates: [45.75975883, -73.56725453]}","Mon Feb 10 16:09:36 +0000 2020"
"824703","{type: Point, coordinates: [55.8333127, -4.4229302]}","Mon Feb 10 18:39:43 +0000 2020"
"826250","{type: Point, coordinates: [38.74751841, -9.09904258]}","Mon Feb 10 19:25:33 +0000 2020"
"829716","{type: Point, coordinates: [51.50013926, -0.12450144]}","Mon Feb 10 21:11:33 +0000 2020"
"832857","{type: Point, coordinates: [45.67070719, -111.07427917]}","Mon Feb 10 22:56:04 +0000 2020"
"852607","{type: Point, coordinates: [38.74751841, -9.09904258]}","Tue Feb 11 09:00:33 +0000 2020"
"853769","{type: Point, coordinates: [41.25928, 13.61277]}","Tue Feb 11 09:44:35 +0000 2020"
"855150","{type: Point, coordinates: [38.74751841, -9.09904258]}","Tue Feb 11 10:16:07 +0000 2020"
"860232","{type: Point, coordinates: [52.232222, 21.008333]}","Tue Feb 11 13:01:22 +0000 2020"
"862078","{type: Point, coordinates: [42.9265121, -78.6184772]}","Tue Feb 11 14:01:00 +0000 2020"
"862143","{type: Point, coordinates: [52.9219, -1.4758]}","Tue Feb 11 14:01:24 +0000 2020"
"868248","{type: Point, coordinates: [52.493694, 13.412563]}","Tue Feb 11 17:03:13 +0000 2020"
"873424","{type: Point, coordinates: [40.7207559, -74.0007613]}","Tue Feb 11 19:47:55 +0000 2020"
"875784","{type: Point, coordinates: [50.8429, -0.1313]}","Tue Feb 11 20:50:07 +0000 2020"
"883876","{type: Point, coordinates: [13.86200131, 100.65507813]}","Wed Feb 12 01:05:32 +0000 2020"
"907229","{type: Point, coordinates: [38.74751841, -9.09904258]}","Wed Feb 12 13:08:32 +0000 2020"
"912826","{type: Point, coordinates: [52.232222, 21.008333]}","Wed Feb 12 15:55:06 +0000 2020"
"912859","{type: Point, coordinates: [52.232222, 21.008333]}","Wed Feb 12 15:55:23 +0000 2020"
"916903","{type: Point, coordinates: [-0.32915415, -78.54107692]}","Wed Feb 12 17:56:29 +0000 2020"
"923156","{type: Point, coordinates: [-34.14558774, 18.3514039]}","Wed Feb 12 21:11:06 +0000 2020"
"928037","{type: Point, coordinates: [29.4239, -98.4933]}","Wed Feb 12 23:41:50 +0000 2020"
"930274","{type: Point, coordinates: [38.74751841, -9.09904258]}","Thu Feb 13 00:43:32 +0000 2020"
"931186","{type: Point, coordinates: [15.54292404, -88.02229593]}","Thu Feb 13 01:13:07 +0000 2020"
"936609","{type: Point, coordinates: [1.28377489, 103.85977747]}","Thu Feb 13 03:58:54 +0000 2020"
"940205","{type: Point, coordinates: [55.852472, -4.309626]}","Thu Feb 13 05:45:17 +0000 2020"
"941079","{type: Point, coordinates: [-26.21659308, 28.06045532]}","Thu Feb 13 06:15:04 +0000 2020"
"942332","{type: Point, coordinates: [45.75975883, -73.56725453]}","Thu Feb 13 06:59:33 +0000 2020"
"944081","{type: Point, coordinates: [52.232222, 21.008333]}","Thu Feb 13 07:45:49 +0000 2020"
"956182","{type: Point, coordinates: [44.11888889, -77.52805556]}","Thu Feb 13 13:48:38 +0000 2020"
"956725","{type: Point, coordinates: [35.6804, 139.769017]}","Thu Feb 13 14:17:01 +0000 2020"
"968479","{type: Point, coordinates: [41.3854908, -75.7080613]}","Thu Feb 13 20:05:33 +0000 2020"
"968490","{type: Point, coordinates: [25.97734614, -80.28091469]}","Thu Feb 13 20:05:34 +0000 2020"
"972116","{type: Point, coordinates: [43.21272978, -75.45736313]}","Thu Feb 13 22:05:03 +0000 2020"
"980090","{type: Point, coordinates: [13.86200131, 100.65507813]}","Fri Feb 14 02:07:03 +0000 2020"
"980092","{type: Point, coordinates: [13.86200131, 100.65507813]}","Fri Feb 14 02:07:04 +0000 2020"
"986205","{type: Point, coordinates: [45.6677507, -73.47935661]}","Fri Feb 14 04:54:05 +0000 2020"
"989539","{type: Point, coordinates: [43.21272978, -75.45736313]}","Fri Feb 14 06:40:03 +0000 2020"
"998472","{type: Point, coordinates: [-26.14637398, 27.90508168]}","Fri Feb 14 11:26:29 +0000 2020"
"1001785","{type: Point, coordinates: [38.74751841, -9.09904258]}","Fri Feb 14 13:11:34 +0000 2020"
