Tweet_ID,Language,Geolocation_coordinate,RT,Likes,Retweets,Country,Date Created
1312180574346309632,en,NO,YES,0,8897,"",Sat Oct 03 00:00:02 +0000 2020
1312180574409244672,en,NO,YES,0,27063,"",Sat Oct 03 00:00:02 +0000 2020
1312180574459633665,en,NO,YES,0,37280,"",Sat Oct 03 00:00:02 +0000 2020
1312180574463827973,en,NO,YES,0,4988,"",Sat Oct 03 00:00:02 +0000 2020
1312180574614773760,und,NO,NO,2,0,"",Sat Oct 03 00:00:02 +0000 2020
1312180574673485824,en,NO,YES,0,1,"",Sat Oct 03 00:00:02 +0000 2020
1312180574715432960,en,NO,YES,0,413500,"",Sat Oct 03 00:00:02 +0000 2020
1312180574744797186,tl,NO,NO,8,5,"",Sat Oct 03 00:00:02 +0000 2020
1312180574807707648,en,NO,YES,0,111404,"",Sat Oct 03 00:00:02 +0000 2020
1312180574816145409,en,NO,YES,0,2346,"",Sat Oct 03 00:00:02 +0000 2020
1312180574866468864,es,NO,NO,0,0,"",Sat Oct 03 00:00:02 +0000 2020
1312180574996422657,pt,NO,YES,0,246,"",Sat Oct 03 00:00:02 +0000 2020
1312180575025786882,en,NO,NO,1,0,"",Sat Oct 03 00:00:02 +0000 2020
1312180575046823937,en,NO,YES,0,1028,"",Sat Oct 03 00:00:02 +0000 2020
1312180575176851456,en,NO,NO,0,0,"",Sat Oct 03 00:00:02 +0000 2020
1312180575189385217,en,NO,NO,0,0,"",Sat Oct 03 00:00:02 +0000 2020
1312180575210405888,en,NO,YES,0,10832,"",Sat Oct 03 00:00:02 +0000 2020
1312180575222951938,en,NO,YES,0,11859,"",Sat Oct 03 00:00:02 +0000 2020
1312180575239725056,en,NO,YES,0,111404,"",Sat Oct 03 00:00:02 +0000 2020
1312180575298445313,fr,NO,NO,0,0,"",Sat Oct 03 00:00:02 +0000 2020
1312180575352942592,en,NO,YES,0,8171,"",Sat Oct 03 00:00:02 +0000 2020
1312180575361327105,en,NO,YES,0,1315,"",Sat Oct 03 00:00:02 +0000 2020
1312180575369740289,en,NO,NO,0,0,"",Sat Oct 03 00:00:02 +0000 2020
1312180575373987840,en,NO,YES,0,33622,"",Sat Oct 03 00:00:02 +0000 2020
1312180575390691329,ja,NO,NO,0,0,"",Sat Oct 03 00:00:02 +0000 2020
1312180575403343872,en,NO,YES,0,3,"",Sat Oct 03 00:00:02 +0000 2020
1312180575411732480,en,NO,YES,0,3218,"",Sat Oct 03 00:00:02 +0000 2020
1312180575428440067,en,NO,YES,0,2,"",Sat Oct 03 00:00:02 +0000 2020
1312180575495544833,en,NO,YES,0,5435,"",Sat Oct 03 00:00:02 +0000 2020
1312180578351865857,en,NO,YES,0,105,"",Sat Oct 03 00:00:03 +0000 2020
1312180578423205888,en,NO,YES,0,10278,"",Sat Oct 03 00:00:03 +0000 2020
1312180578427387904,en,NO,YES,0,269,"",Sat Oct 03 00:00:03 +0000 2020
1312180578448404480,en,NO,NO,3,0,"",Sat Oct 03 00:00:03 +0000 2020
1312180578523901953,en,NO,YES,0,174,"",Sat Oct 03 00:00:03 +0000 2020
1312180578570051585,es,NO,YES,0,2503,"",Sat Oct 03 00:00:03 +0000 2020
1312180578574200833,in,NO,YES,0,5304,"",Sat Oct 03 00:00:03 +0000 2020
1312180578595160065,en,NO,NO,1,0,"",Sat Oct 03 00:00:03 +0000 2020
1312180578595209216,en,NO,YES,0,3528,"",Sat Oct 03 00:00:03 +0000 2020
1312180578653937665,en,NO,YES,0,9787,"",Sat Oct 03 00:00:03 +0000 2020
1312180578679021568,en,NO,YES,0,3,"",Sat Oct 03 00:00:03 +0000 2020
1312180578679021575,en,NO,NO,0,0,"",Sat Oct 03 00:00:03 +0000 2020
1312180578679095299,en,NO,YES,0,3437,"",Sat Oct 03 00:00:03 +0000 2020
1312180578750361600,en,NO,NO,0,0,"",Sat Oct 03 00:00:03 +0000 2020
1312180578762911744,en,NO,YES,0,18,"",Sat Oct 03 00:00:03 +0000 2020
1312180578792304640,en,NO,NO,0,0,"",Sat Oct 03 00:00:03 +0000 2020
1312180578871996417,en,NO,YES,0,612,"",Sat Oct 03 00:00:03 +0000 2020
1312180578909732865,en,NO,NO,0,0,"",Sat Oct 03 00:00:03 +0000 2020
1312180579052388354,en,NO,NO,0,0,"",Sat Oct 03 00:00:03 +0000 2020
1312180579144622081,en,NO,YES,0,16686,"",Sat Oct 03 00:00:03 +0000 2020
1312180579211698176,en,NO,YES,0,62,"",Sat Oct 03 00:00:03 +0000 2020
1312180579383697410,en,NO,YES,0,14624,"",Sat Oct 03 00:00:03 +0000 2020
1312180579425636353,en,NO,NO,27,2,"",Sat Oct 03 00:00:03 +0000 2020
1312180579442384896,en,NO,NO,0,0,"",Sat Oct 03 00:00:03 +0000 2020
1312180579450810368,en,NO,YES,0,31213,"",Sat Oct 03 00:00:03 +0000 2020
1312180579471814657,cs,NO,NO,0,0,"",Sat Oct 03 00:00:03 +0000 2020
1312180579517952001,en,NO,YES,0,4276,"",Sat Oct 03 00:00:03 +0000 2020
1312180579534696449,en,NO,YES,0,5,"",Sat Oct 03 00:00:03 +0000 2020
1312180579568291840,en,NO,YES,0,81616,"",Sat Oct 03 00:00:03 +0000 2020
1312180579605991424,en,NO,YES,0,1444,"",Sat Oct 03 00:00:03 +0000 2020
1312180579610181632,en,NO,YES,0,47019,"",Sat Oct 03 00:00:03 +0000 2020
1312180579626958848,en,NO,NO,0,0,"",Sat Oct 03 00:00:03 +0000 2020
1312180579731828737,en,NO,YES,0,24293,"",Sat Oct 03 00:00:04 +0000 2020
1312180579761176577,fr,NO,YES,0,533,"",Sat Oct 03 00:00:04 +0000 2020
1312180579807289344,en,NO,YES,0,23147,"",Sat Oct 03 00:00:04 +0000 2020
1312180579832532992,en,NO,NO,1,0,"",Sat Oct 03 00:00:04 +0000 2020
1312180579857690624,in,NO,YES,0,109,"",Sat Oct 03 00:00:04 +0000 2020
1312180579878662144,en,NO,NO,0,0,"",Sat Oct 03 00:00:04 +0000 2020
1312180579924811780,en,NO,YES,0,99,"",Sat Oct 03 00:00:04 +0000 2020
1312180581455724545,en,NO,NO,0,0,"",Sat Oct 03 00:00:04 +0000 2020
1312180582395179010,es,NO,NO,4,1,"",Sat Oct 03 00:00:04 +0000 2020
1312180582491713537,en,NO,YES,0,63,"",Sat Oct 03 00:00:04 +0000 2020
1312180582516834305,en,NO,YES,0,102,"",Sat Oct 03 00:00:04 +0000 2020
1312180582516883457,en,NO,YES,0,4401,"",Sat Oct 03 00:00:04 +0000 2020
1312180582588116993,en,NO,YES,0,92,"",Sat Oct 03 00:00:04 +0000 2020
1312180582630137857,en,NO,YES,0,2318,"",Sat Oct 03 00:00:04 +0000 2020
1312180582672003073,en,NO,YES,0,1,"",Sat Oct 03 00:00:04 +0000 2020
1312180582684659712,en,NO,YES,0,8046,"",Sat Oct 03 00:00:04 +0000 2020
1312180582688780288,en,NO,YES,0,74,"",Sat Oct 03 00:00:04 +0000 2020
1312180582772690945,en,NO,NO,0,0,"",Sat Oct 03 00:00:04 +0000 2020
1312180582785327104,en,NO,YES,0,167,"",Sat Oct 03 00:00:04 +0000 2020
