"","Geo_Location","Date_Created"
"530683","{type: Point, coordinates: [51.81715574, -1.86157076]}","Fri Mar 13 15:11:38 +0000 2020"
"534061","{type: Point, coordinates: [49.24011, -123.05352]}","Fri Mar 13 15:58:21 +0000 2020"
"538459","{type: Point, coordinates: [49.69559222, -123.15634653]}","Fri Mar 13 17:00:15 +0000 2020"
"540984","{type: Point, coordinates: [49.86373742, -97.18633812]}","Fri Mar 13 17:42:53 +0000 2020"
"547286","{type: Point, coordinates: [57.1866539, -3.82802832]}","Fri Mar 13 19:13:54 +0000 2020"
"549807","{type: Point, coordinates: [-3.9827379, 39.7391874]}","Fri Mar 13 19:46:05 +0000 2020"
"552853","{type: Point, coordinates: [38.74751841, -9.09904258]}","Fri Mar 13 20:31:34 +0000 2020"
"553761","{type: Point, coordinates: [27.4882, -82.5777]}","Fri Mar 13 20:46:03 +0000 2020"
"555636","{type: Point, coordinates: [30.16148, -95.4659]}","Fri Mar 13 21:15:29 +0000 2020"
"557945","{type: Point, coordinates: [38.74751841, -9.09904258]}","Fri Mar 13 21:52:33 +0000 2020"
"565275","{type: Point, coordinates: [43.6587, -70.2663]}","Sat Mar 14 02:26:03 +0000 2020"
"566225","{type: Point, coordinates: [39.9342, -74.8914]}","Sat Mar 14 02:40:44 +0000 2020"
"569812","{type: Point, coordinates: [34.0522, -118.243]}","Sat Mar 14 03:39:19 +0000 2020"
"570795","{type: Point, coordinates: [40.79490456, -74.25585404]}","Sat Mar 14 03:54:22 +0000 2020"
"571383","{type: Point, coordinates: [25.8067, -80.3477]}","Sat Mar 14 03:56:09 +0000 2020"
"582979","{type: Point, coordinates: [2.92003561, 101.68407147]}","Sat Mar 14 06:55:13 +0000 2020"
"585729","{type: Point, coordinates: [43.3333, -6.0]}","Sat Mar 14 07:27:28 +0000 2020"
"590149","{type: Point, coordinates: [59.27892963, 18.73594072]}","Sat Mar 14 08:40:38 +0000 2020"
"594528","{type: Point, coordinates: [51.2157, 4.4141]}","Sat Mar 14 09:41:51 +0000 2020"
"596464","{type: Point, coordinates: [37.65823424, 126.68117917]}","Sat Mar 14 10:11:56 +0000 2020"
"600226","{type: Point, coordinates: [-33.86751, 151.20797]}","Sat Mar 14 11:26:04 +0000 2020"
"600571","{type: Point, coordinates: [38.6820804, -77.30148526]}","Sat Mar 14 11:27:17 +0000 2020"
"600650","{type: Point, coordinates: [52.264, 10.5247]}","Sat Mar 14 11:27:19 +0000 2020"
"601582","{type: Point, coordinates: [-33.86751, 151.20797]}","Sat Mar 14 11:42:18 +0000 2020"
"608251","{type: Point, coordinates: [56.9564, 24.1213]}","Sat Mar 14 13:15:01 +0000 2020"
"613045","{type: Point, coordinates: [37.89955643, -4.78108972]}","Sat Mar 14 14:29:00 +0000 2020"
"615159","{type: Point, coordinates: [40.86401039, -3.61569777]}","Sat Mar 14 14:59:38 +0000 2020"
"616102","{type: Point, coordinates: [10.1897, -64.6872]}","Sat Mar 14 15:14:18 +0000 2020"
"616145","{type: Point, coordinates: [33.8719, -84.5184]}","Sat Mar 14 15:14:19 +0000 2020"
"621794","{type: Point, coordinates: [50.814711, -0.371386]}","Sat Mar 14 16:43:18 +0000 2020"
"622585","{type: Point, coordinates: [38.74751841, -9.09904258]}","Sat Mar 14 16:46:05 +0000 2020"
"626211","{type: Point, coordinates: [41.15365, -81.35711]}","Sat Mar 14 17:44:41 +0000 2020"
"626593","{type: Point, coordinates: [53.51838, -113.48907]}","Sat Mar 14 17:46:04 +0000 2020"
"631207","{type: Point, coordinates: [37.73703583, -122.17350744]}","Sat Mar 14 18:59:43 +0000 2020"
"632197","{type: Point, coordinates: [3.4494517, -76.535993]}","Sat Mar 14 19:14:44 +0000 2020"
"632596","{type: Point, coordinates: [36.6997177, -4.53129964]}","Sat Mar 14 19:16:09 +0000 2020"
"632810","{type: Point, coordinates: [26.46437, -80.07418]}","Sat Mar 14 19:16:52 +0000 2020"
"632998","{type: Point, coordinates: [-21.13316, -44.25843]}","Sat Mar 14 19:29:03 +0000 2020"
"634035","{type: Point, coordinates: [41.4706, 2.0852]}","Sat Mar 14 19:44:04 +0000 2020"
"637950","{type: Point, coordinates: [18.4596876, -69.9485084]}","Sat Mar 14 20:44:03 +0000 2020"
"637977","{type: Point, coordinates: [18.4596876, -69.9485084]}","Sat Mar 14 20:44:04 +0000 2020"
"639201","{type: Point, coordinates: [40.7142, -74.0064]}","Sat Mar 14 20:59:44 +0000 2020"
"639505","{type: Point, coordinates: [43.632778, -79.418611]}","Sat Mar 14 21:00:49 +0000 2020"
"639827","{type: Point, coordinates: [36.5371, -4.6269]}","Sat Mar 14 21:01:54 +0000 2020"
"640416","{type: Point, coordinates: [40.4, -3.68333]}","Sat Mar 14 21:15:29 +0000 2020"
"642282","{type: Point, coordinates: [33.912947, -98.492778]}","Sat Mar 14 21:45:08 +0000 2020"
"642983","{type: Point, coordinates: [33.97924685, -118.45354476]}","Sat Mar 14 21:47:32 +0000 2020"
"657726","{type: Point, coordinates: [-11.0, -53.0]}","Sun Mar 15 01:31:34 +0000 2020"
"660701","{type: Point, coordinates: [45.75975883, -73.56725453]}","Sun Mar 15 02:16:32 +0000 2020"
"663380","{type: Point, coordinates: [39.9527, -75.1651]}","Sun Mar 15 02:48:46 +0000 2020"
"664818","{type: Point, coordinates: [41.51914, -81.55294]}","Sun Mar 15 03:16:56 +0000 2020"
"666347","{type: Point, coordinates: [8.43333333, -82.43333333]}","Sun Mar 15 03:33:36 +0000 2020"
"667448","{type: Point, coordinates: [-6.01556, 106.053]}","Sun Mar 15 03:49:12 +0000 2020"
"667601","{type: Point, coordinates: [-6.69452722, 107.82472585]}","Sun Mar 15 03:49:32 +0000 2020"
"669147","{type: Point, coordinates: [18.4596876, -69.9485084]}","Sun Mar 15 04:18:03 +0000 2020"
"669320","{type: Point, coordinates: [34.05499057, -118.40085235]}","Sun Mar 15 04:18:43 +0000 2020"
"669852","{type: Point, coordinates: [-7.55, 112.233]}","Sun Mar 15 04:32:20 +0000 2020"
"670225","{type: Point, coordinates: [-38.7167, -62.2667]}","Sun Mar 15 04:33:23 +0000 2020"
"673758","{type: Point, coordinates: [12.971117, 77.597645]}","Sun Mar 15 05:32:01 +0000 2020"
"682448","{type: Point, coordinates: [42.23537369, -8.72071488]}","Sun Mar 15 07:34:17 +0000 2020"
"682491","{type: Point, coordinates: [-6.21797, 106.84701]}","Sun Mar 15 07:34:18 +0000 2020"
"683230","{type: Point, coordinates: [2.98062107, 101.69908971]}","Sun Mar 15 07:48:26 +0000 2020"
"693566","{type: Point, coordinates: [50.85, 4.35]}","Sun Mar 15 10:19:49 +0000 2020"
