,Year,Month,Day,Sentiment,Count,Avg_Per
607,2020,8,11,negative,1476775,0.445399842
608,2020,8,11,neutral,1501225,0.457287
609,2020,8,11,positive,324918,0.097313159
610,2020,8,12,negative,1225377,0.454692298
611,2020,8,12,neutral,1217303,0.448488174
612,2020,8,12,positive,262741,0.096819528
613,2020,8,13,negative,1333123,0.446244434
614,2020,8,13,neutral,1367758,0.462683966
615,2020,8,13,positive,269495,0.0910716
616,2020,8,14,negative,1310455,0.446601427
617,2020,8,14,neutral,1370960,0.468747679
618,2020,8,14,positive,250359,0.084650894
619,2020,8,15,negative,1209551,0.445771499
620,2020,8,15,neutral,1171076,0.435458953
621,2020,8,15,positive,322091,0.118769548
622,2020,8,16,negative,1247316,0.479616246
623,2020,8,16,neutral,1119212,0.430755162
624,2020,8,16,positive,234664,0.089628592
625,2020,8,17,negative,1225195,0.445893559
626,2020,8,17,neutral,1283598,0.465198033
627,2020,8,17,positive,251370,0.088908408
628,2020,8,18,negative,1340607,0.45429324
629,2020,8,18,neutral,1295826,0.440124843
630,2020,8,18,positive,311691,0.105581917
631,2020,8,19,negative,1278795,0.445018606
632,2020,8,19,neutral,1256350,0.439944802
633,2020,8,19,positive,327667,0.115036592
634,2020,8,20,negative,1356324,0.461820299
635,2020,8,20,neutral,1294276,0.442085173
636,2020,8,20,positive,282167,0.096094528
637,2020,8,21,negative,1460191,0.45492218
638,2020,8,21,neutral,1460487,0.458082519
639,2020,8,21,positive,280557,0.086995302
640,2020,8,22,negative,1423859,0.47203912
641,2020,8,22,neutral,1332624,0.440916399
