"","Geo_Location","Date_Created"
"1146557","{type: Point, coordinates: [34.0522, -118.243]}","Sat Feb 22 06:11:42 +0000 2020"
"1151036","{type: Point, coordinates: [12.971117, 77.597645]}","Sat Feb 22 08:10:47 +0000 2020"
"1154264","{type: Point, coordinates: [41.9, 12.5]}","Sat Feb 22 09:24:27 +0000 2020"
"1154356","{type: Point, coordinates: [45.48138889, 9.17666667]}","Sat Feb 22 09:25:02 +0000 2020"
"1172523","{type: Point, coordinates: [6.05888667, 116.15030168]}","Sat Feb 22 14:58:23 +0000 2020"
"1190069","{type: Point, coordinates: [12.1364, -86.2514]}","Sat Feb 22 20:13:09 +0000 2020"
"1190552","{type: Point, coordinates: [39.06646, 8.4551]}","Sat Feb 22 20:15:54 +0000 2020"
"1195288","{type: Point, coordinates: [45.4643, 9.1897]}","Sat Feb 22 21:46:13 +0000 2020"
"1195442","{type: Point, coordinates: [45.4643, 9.1897]}","Sat Feb 22 21:47:06 +0000 2020"
"1198430","{type: Point, coordinates: [47.50372314, 8.55018989]}","Sat Feb 22 22:47:25 +0000 2020"
"1225275","{type: Point, coordinates: [8.96389499, 7.42936372]}","Sun Feb 23 08:36:03 +0000 2020"
"1225849","{type: Point, coordinates: [47.50369263, 8.55011921]}","Sun Feb 23 08:49:34 +0000 2020"
"1229412","{type: Point, coordinates: [12.733333, 105.666667]}","Sun Feb 23 09:49:52 +0000 2020"
"1229628","{type: Point, coordinates: [12.733333, 105.666667]}","Sun Feb 23 09:50:59 +0000 2020"
"1229723","{type: Point, coordinates: [13.36092601, 103.89302731]}","Sun Feb 23 09:51:29 +0000 2020"
"1232363","{type: Point, coordinates: [41.9, 12.5]}","Sun Feb 23 10:36:21 +0000 2020"
"1233666","{type: Point, coordinates: [22.2833, 114.15]}","Sun Feb 23 11:04:08 +0000 2020"
"1266501","{type: Point, coordinates: [42.33628703, -7.86327502]}","Sun Feb 23 20:09:41 +0000 2020"
"1266879","{type: Point, coordinates: [47.50375366, 8.55019354]}","Sun Feb 23 20:21:57 +0000 2020"
"1267675","{type: Point, coordinates: [8.96389499, 7.42936372]}","Sun Feb 23 20:36:32 +0000 2020"
"1270883","{type: Point, coordinates: [45.5236111, -122.675]}","Sun Feb 23 21:24:32 +0000 2020"
"1273971","{type: Point, coordinates: [-23.51736, -46.56767]}","Sun Feb 23 22:22:07 +0000 2020"
"1282862","{type: Point, coordinates: [45.42453564, -122.49621944]}","Mon Feb 24 00:41:54 +0000 2020"
"1289760","{type: Point, coordinates: [37.4441, -122.1633]}","Mon Feb 24 02:41:01 +0000 2020"
"1290004","{type: Point, coordinates: [1.37201581, 103.96257899]}","Mon Feb 24 02:42:15 +0000 2020"
"1290843","{type: Point, coordinates: [53.60276332, -1.93048239]}","Mon Feb 24 02:57:02 +0000 2020"
"1298386","{type: Point, coordinates: [45.4643, 9.1897]}","Mon Feb 24 05:10:27 +0000 2020"
"1304227","{type: Point, coordinates: [58.88221, 5.62986]}","Mon Feb 24 06:43:39 +0000 2020"
"1306133","{type: Point, coordinates: [26.36971389, 127.74661796]}","Mon Feb 24 07:25:06 +0000 2020"
"1318490","{type: Point, coordinates: [45.45167586, 9.17448604]}","Mon Feb 24 10:44:35 +0000 2020"
"1325607","{type: Point, coordinates: [37.56695005, 127.00843114]}","Mon Feb 24 12:45:20 +0000 2020"
"1326157","{type: Point, coordinates: [33.4597558, 126.33557443]}","Mon Feb 24 12:58:19 +0000 2020"
"1327377","{type: Point, coordinates: [43.0, 12.0]}","Mon Feb 24 13:15:04 +0000 2020"
"1329603","{type: Point, coordinates: [37.5574864, 126.9730625]}","Mon Feb 24 13:58:00 +0000 2020"
"1336780","{type: Point, coordinates: [40.05, 9.08333333]}","Mon Feb 24 15:58:43 +0000 2020"
"1341853","{type: Point, coordinates: [45.0702, 7.6777]}","Mon Feb 24 17:17:30 +0000 2020"
"1348978","{type: Point, coordinates: [44.45876, 8.90199]}","Mon Feb 24 19:17:42 +0000 2020"
"1351802","{type: Point, coordinates: [54.24167519, -8.80235543]}","Mon Feb 24 20:03:35 +0000 2020"
"1354367","{type: Point, coordinates: [41.89390176, 12.5505559]}","Mon Feb 24 20:48:03 +0000 2020"
"1357130","{type: Point, coordinates: [42.87684, -8.54432]}","Mon Feb 24 21:33:44 +0000 2020"
"1365269","{type: Point, coordinates: [35.68068905, 139.76521888]}","Mon Feb 24 23:49:25 +0000 2020"
"1365296","{type: Point, coordinates: [-26.65, 153.067]}","Mon Feb 24 23:49:30 +0000 2020"
"1366089","{type: Point, coordinates: [37.54274326, 126.98244019]}","Tue Feb 25 00:04:05 +0000 2020"
