"Tweet_ID","Hashtag"
"1293321339504336897","#JuanDiegoGómez"
"1293321339504336897","#ModoHervir"
"1293321339504336897","#QuédateEnCasa"
"1293321339504336897","#VidaPúrpura"
"1293321339592269824","#VoteBlueNoMatterWho2020"
"1293321339592294400","#coronavirus"
"1293321339760185345","#S"
"1293321339760185345","#SomosCuba"
"1293321339944742913","#VocesySonidos"
"1293321341412810752","#coronavirus"
"1293321341412810752","#Rusia"
"1293321341446176768","#Coronavirus"
"1293321341446176768","#DrPepper"
"1293321341672861696","#VoteTrump"
"1293321341672861696","#VoteTrump"
"1293321341676990464","#CaliUnidaPorLaVida"
"1293321341676990464","#CaliUnidaPorLaVida"
"1293321341676990464","#CaliUnidaPorLaVida"
"1293321341676990464","#COVID19"
"1293321341676990464","#COVID19"
"1293321341676990464","#COVID19"
"1293321343501570054","#dalhousie"
"1293321343501570054","#dalhousieu"
"1293321343501570054","#grantme"
"1293321343501570054","#grantmecanada"
"1293321343501570054","#halifax"
"1293321343971155969","#BidenHarris2020"
"1293321343971155969","#BidenHarris2020"
"1293321344222806017","#BMJEduca"
"1293321344222986242","#COVID"
"1293321344222986242","#masks"
"1293321344340447235","#FoodBank"
"1293321344340447235","#Signup"
"1293321344340447235","#Volunteer"
"1293321344604610560","#abuse"
"1293321344604610560","#conspiracy"
"1293321344604610560","#coronavirus"
"1293321344604610560","#COVID19"
"1293321344604610560","#danger"
"1293321344604610560","#dismiss"
"1293321344604610560","#drnataliejonespsydlpcc"
"1293321344604610560","#irresponsible"
"1293321344604610560","#narcissism"
"1293321344604610560","#narcissisticabuse"
"1293321344604610560","#pandemic"
"1293321344604610560","#risk"
"1293321344604610560","#risky"
"1293321344608804865","#Covid19"
"1293321344608804865","#NuevoLeón"
"1293321345372233728","#Covid19"
"1293321345372233728","#Presidente"
"1293321345372233728","#Putin"
"1293321345372233728","#Rusia"
"1293321345372233728","#vacuna"
"1293321345384603649","#ATNIX"
"1293321346634653704","#ReporteCOVID19"
"1293321346936705025","#starseedks"
"1293321346936705025","#TipTuesday"
"1293321347372900353","#mlanet20"
"1293321348387942401","#co"
"1293321348484300800","#Coronavírus"
"1293321348484300800","#COVID19"
"1293321348484300800","#Micr"
"1293321348484300800","#SARSCoV2"
"1293321348484399105","#Coronavirus"
"1293321348484399105","#COVID19"
"1293321348488495105","#hidroxicloroquina"
"1293321348488495105","#malaria"
"1293321348534743040","#Coronavírus"
"1293321349683798017","#Th"
"1293321349981757447","#COVID19MA"
"1293321350946455560","#Covid19"
"1293321350946455560","#Putin"
"1293321350959050753","#Egresados"
"1293321350959050753","#PorSiNoLoViste"
"1293321351969804295","#KamalaHarris"
"1293321352146034689","#UniónYLuchaConElPueblo"
"1293321352707858432","#NoticiasDelPalo"
"1293321353701949440","#BarbosaNoSabeGobernar"
"1293321354436120576","#UniónYLuchaConElPueblo"
"1293321354683588618","#coronavirus"
"1293321354683588618","#vacuna"
"1293321354733850625","#COVID<U+30FC>19"
"1293321354733850625","#pandemic"
"1293321355849617410","#SomosCont"
"1293321355849617410","#SomosCuba"
"1293321356562636802","#Entérate"
"1293321356650717184","#TechLA"
"1293321357074272259","#Broncos"
"1293321357074272259","#Bucs"
"1293321357674061830","#ImpuestoALosSúperRicos"
"1293321357888020480","#EnVivo"
"1293321357888020480","#PrevenciónyAcción"
"1293321358068322304","#QuitRobbingOhio"
"1293321358068322304","#QuitRobbingOhio"
"1293321360098369536","#COVID"
"1293321361738301440","#coronavirus"
"1293321362363359238","#SucreEsNoticia|"
"1293321362363359238","#SucreEsNoticia|"
"1293321362476601345","#COVID19"
"1293321362476601345","#FutureofWork"
"1293321362476601345","#health"
"1293321362535219201","#Covid19"
"1293321362724073473","#CuidémonosEntreTodos"
"1293321362724073473","#LávateLasManos"
"1293321362724073473","#PlanCoronavirus"
"1293321362967126016","#BitoyStory"
"1293321362967126016","#BitoyStory"
"1293321363332255744","#Covid19"
"1293321363332255744","#solarpower"
"1293321363512426496","#JoeHo"
"1293321363705532420","#Coronavirus"
"1293321364749910018","#Monagas"
"1293321364749910018","#Venezuela"
"1293321364749922312","#covid"
"1293321364749922312","#covid"
"1293321364749922312","#covid"
"1293321365093834752","#Covid19"
"1293321365353897985","#C"
"1293321365353897985","#Caracas"
"1293321365492248578","#EstudioBBC"
"1293321365727186944","#CO"
"1293321365727186944","#CO"
"1293321365727186944","#EsNoticia"
"1293321365727186944","#EsNoticia"
"1293321366276468736","#COVID19"
"1293321366276468736","#FuerteCoahuilaEs"
"1293321366276468736","#LaLaguna"
"1293321366276468736","#SubcomitéTécnico"
"1293321366767316999","#HelpUsHelpYou"
"1293321366796607488","#coronavirus"
"1293321368180871171","#COVID19"
"1293321368411484167","#dickhead"
"1293321368667394051","#TheBatman"
"1293321368814137346","#congressisajoke"
"1293321368814137346","#covid"
"1293321369174700034","#coronavirus"
"1293321369514582019","#CORONAVIRUS"
"1293321370085056516","#Gamaleya"
"1293321370085056516","#Russian"
"1293321370349314052","#COVID"
"1293321370349314052","#masks"
"1293321371376902146","#coronavirus"
"1293321371376902146","#COVID19"
"1293321371376902146","#ElSalvador"
"1293321373226541064","#COVID19"
"1293321374254002176","#Canada"
"1293321374254002176","#CanadaImmigration"
"1293321374254002176","#coronavirus"
"1293321374254002176","#ImmigrateToCanada"
"1293321375759978496","#catholic"
"1293321375759978496","#catholic"
"1293321375759978496","#catholic"
"1293321375759978496","#catholicnews"
"1293321375759978496","#catholicnews"
"1293321375759978496","#catholicnews"
"1293321375759978496","#coronavirus"
"1293321375759978496","#coronavirus"
"1293321375759978496","#coronavirus"
"1293321375759978496","#neworleans"
"1293321375759978496","#neworleans"
"1293321375759978496","#neworleans"
"1293321375759978496","#support"
"1293321375759978496","#support"
"1293321375759978496","#support"
"1293321376905007111","#RussiaVaccine"
"1293321376905007111","#RussiaVaccine"
"1293321377219522563","#Coronavirus"
"1293321377219522563","#COVID19"
"1293321377286586369","#Coronavirus"
"1293321377425108993","#coronavirus"
"1293321377425108993","#coronavirus"
"1293321380411441152","#Coronavir"
"1293321380411441152","#H1B"
"1293321380411441152","#Jobs"
"1293321380411441152","#UnemploymentRate"
"1293321380411441152","#UnitedStates"
"1293321384278421505","#Coronavirus"
"1293321384278421505","#Coronavirus"
"1293321384278421505","#COVID<U+30FC>19"
"1293321384278421505","#COVID<U+30FC>19"
"1293321384278421505","#COVID19"
"1293321384278421505","#COVID19"
"1293321385658314752","#coronavirus"
"1293321385767399427","#coronavirus"
"1293321385796829184","#co"
"1293321385796829184","#COVID19"
"1293321385935134721","#coronavirus"
"1293321386010828802","#COVID1"
"1293321386010828802","#mobility"
"1293321386010828802","#TeamAlstom"
"1293321386807746560","#vaccinoCovid"
"1293321386811895813","#supplychain"
"1293321387898265602","#coronavírus"
"1293321388657389570","#trump"
"1293321388917428224","#HarvardHealth"
"1293321389009711106","#buenosvecinos"
"1293321389009711106","#buenosvecinos"
"1293321389009711106","#buenosvecinos"
"1293321389143928835","#coronavirus"
"1293321390129438720","#Biden"
"1293321390129438720","#Biden"
"1293321390129438720","#Biden"
"1293321390129438720","#Biden"
"1293321390129438720","#Biden"
"1293321390129438720","#FoxNews"
"1293321390129438720","#FoxNews"
"1293321390129438720","#FoxNews"
"1293321390129438720","#FoxNews"
"1293321390129438720","#FoxNews"
